frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
182,6082.1,7,360,711,,,,,,,9,197,660,,,,,,,8,307,875,,,,,,,,,,,,,,,
183,6117.9,7,362,711,,,,,,,9,198,660,,,,,,,6,309,872,,,,,,,,,,,,,,,
184,6150.4,8,364,712,,,,,,,9,200,661,,,,,,,,,,,,,,,,,,,,,,,,
185,6182.1,8,366,711,,,,,,,9,203,661,,,,,,,,,,,,,,,,,,,,,,,,
186,6217.9,7,367,712,,,,,,,9,204,663,,,,,,,,,,,,,,,,,,,,,,,,
187,6250.2,7,370,712,,,,,,,9,207,663,,,,,,,,,,,,,,,,,,,,,,,,
188,6282.1,7,372,713,,,,,,,9,209,663,,,,,,,,,,,,,,,,,,,,,,,,
189,6318.2,7,374,713,,,,,,,9,211,664,,,,,,,,,,,,,,,,,,,,,,,,
190,6350.2,7,376,714,,,,,,,9,213,664,,,,,,,,,,,,,,,,,,,,,,,,
191,6382.3,7,378,714,,,,,,,9,215,665,,,,,,,,,,,,,,,,,,,,,,,,
192,6418.4,7,380,715,,,,,,,9,217,666,,,,,,,,,,,,,,,,,,,,,,,,
193,6450.2,8,382,716,,,,,,,9,219,666,,,,,,,,,,,,,,,,,,,,,,,,
194,6482.0,7,384,717,,,,,,,9,221,665,,,,,,,,,,,,,,,,,,,,,,,,
195,6518.0,7,388,716,,,,,,,10,227,660,,,,,,,,,,,,,,,,,,,,,,,,
196,6552.0,7,393,713,,,,,,,9,233,654,,,,,,,,,,,,,,,,,,,,,,,,
197,6582.3,7,398,712,,,,,,,9,241,647,,,,,,,,,,,,,,,,,,,,,,,,
198,6618.1,7,408,715,,,,,,,9,256,640,,,,,,,,,,,,,,,,,,,,,,,,
199,6650.3,7,419,726,,,,,,,9,278,631,,,,,,,,,,,,,,,,,,,,,,,,
200,6682.3,7,426,743,,,,,,,9,305,625,,,,,,,,,,,,,,,,,,,,,,,,
201,6718.7,7,427,766,,,,,,,9,337,622,,,,,,,,,,,,,,,,,,,,,,,,
202,6750.4,7,427,785,,,,,,,8,369,624,,,,,,,7,265,843,,,,,,,,,,,,,,,
203,6782.0,7,423,802,,,,,,,9,402,632,,,,,,,7,253,825,,,,,,,,,,,,,,,
204,6818.3,7,415,816,,,,,,,10,431,644,,,,,,,6,245,802,,,,,,,,,,,,,,,
205,6852.1,7,403,825,,,,,,,8,455,660,,,,,,,6,242,776,,,,,,,,,,,,,,,
206,6883.6,8,389,828,,,,,,,8,474,679,,,,,,,6,243,747,,,,,,,,,,,,,,,
207,6918.0,,,,,,,,,,8,489,699,,,,,,,6,249,717,,,,,,,,,,,,,,,
208,6950.2,,,,,,,,,,8,498,718,,,,,,,6,261,687,,,,,,,,,,,,,,,
209,6982.4,,,,,,,,,,8,501,739,,,,,,,6,278,657,,,,,,,,,,,,,,,
210,7018.4,7,334,793,,,,,,,8,500,756,,,,,,,7,300,630,,,,,,,,,,,,,,,
211,7051.5,7,325,771,,,,,,,9,494,771,,,,,,,6,326,605,,,,,,,,,,,,,,,
212,7082.2,7,320,747,,,,,,,9,486,782,,,,,,,6,355,584,,,,,,,,,,,,,,,
213,7118.6,7,320,719,,,,,,,9,474,789,,,,,,,7,388,567,,,,,,,,,,,,,,,
214,7151.9,7,324,690,,,,,,,8,460,790,,,,,,,7,423,556,,,,,,,,,,,,,,,
215,7182.1,7,335,661,,,,,,,8,446,786,,,,,,,6,458,549,,,,,,,,,,,,,,,
216,7217.8,7,349,631,,,,,,,8,431,776,,,,,,,7,492,547,,,,,,,,,,,,,,,
217,7250.1,7,369,602,,,,,,,8,419,761,,,,,,,6,525,550,,,,,,,,,,,,,,,
218,7282.4,7,393,576,,,,,,,8,410,742,,,,,,,7,557,557,,,,,,,,,,,,,,,
219,7318.1,8,420,554,,,,,,,9,403,719,,,,,,,7,585,570,,,,,,,,,,,,,,,
220,7350.2,7,452,536,,,,,,,9,401,694,,,,,,,6,610,586,,,,,,,,,,,,,,,
221,7382.3,7,485,523,,,,,,,8,402,666,,,,,,,7,630,605,,,,,,,,,,,,,,,
222,7417.9,7,519,515,,,,,,,8,410,639,,,,,,,6,644,625,,,,,,,,,,,,,,,
223,7450.0,7,554,512,,,,,,,9,421,610,,,,,,,7,654,645,,,,,,,,,,,,,,,
224,7483.5,7,588,514,,,,,,,7,437,582,,,,,,,7,658,666,,,,,,,,,,,,,,,
225,7518.4,7,620,520,,,,,,,8,459,555,,,,,,,6,657,683,,,,,,,,,,,,,,,
226,7553.2,7,650,530,,,,,,,9,485,531,,,,,,,7,653,697,,,,,,,,,,,,,,,
227,7583.4,7,676,544,,,,,,,8,512,511,,,,,,,7,644,707,,,,,,,,,,,,,,,
228,7618.2,7,697,561,,,,,,,8,543,495,,,,,,,7,631,714,,,,,,,,,,,,,,,
229,7653.2,7,714,580,,,,,,,8,578,484,,,,,,,6,618,716,,,,,,,,,,,,,,,
230,7682.1,7,726,601,,,,,,,9,612,478,,,,,,,6,604,713,,,,,,,,,,,,,,,
231,7721.2,7,732,622,,,,,,,8,646,478,,,,,,,7,590,705,,,,,,,,,,,,,,,
232,7750.4,7,735,641,,,,,,,9,679,483,,,,,,,6,577,692,,,,,,,,,,,,,,,
233,7782.4,8,731,657,,,,,,,9,711,490,,,,,,,7,568,675,,,,,,,,,,,,,,,
234,7818.0,8,724,669,,,,,,,10,739,503,,,,,,,7,560,653,,,,,,,,,,,,,,,
235,7851.4,7,714,678,,,,,,,8,763,518,,,,,,,6,557,628,,,,,,,,,,,,,,,
236,7882.0,7,701,681,,,,,,,8,782,535,,,,,,,7,557,601,,,,,,,,,,,,,,,
237,7918.1,7,687,681,,,,,,,8,797,556,,,,,,,7,563,573,,,,,,,,,,,,,,,
238,7950.2,7,673,675,,,,,,,8,807,575,,,,,,,6,573,545,,,,,,,,,,,,,,,
239,7982.9,7,659,665,,,,,,,9,811,595,,,,,,,7,588,518,,,,,,,,,,,,,,,
240,8017.9,8,648,651,,,,,,,9,810,613,,,,,,,7,607,493,,,,,,,,,,,,,,,
241,8050.1,7,638,632,,,,,,,9,806,629,,,,,,,6,631,470,,,,,,,,,,,,,,,
242,8082.1,7,632,610,,,,,,,9,797,640,,,,,,,6,658,450,,,,,,,,,,,,,,,
243,8120.8,7,630,585,,,,,,,8,786,648,,,,,,,6,689,434,,,,,,,,,,,,,,,
244,8153.3,7,633,558,,,,,,,8,773,650,,,,,,,7,721,421,,,,,,,,,,,,,,,
245,8182.9,7,640,530,,,,,,,8,758,648,,,,,,,7,754,413,,,,,,,,,,,,,,,
246,8218.0,7,652,502,,,,,,,8,743,640,,,,,,,7,788,411,,,,,,,,,,,,,,,
247,8250.1,7,668,476,,,,,,,8,730,628,,,,,,,7,821,413,,,,,,,,,,,,,,,
