frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,43,409,,,,,,,,,,,,,,,
1,130.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,44,410,,,,,,,,,,,,,,,
2,228.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,110,425,,,,,,,,,,,,,,,
57,1924.6,15,1089,787,74.15201249442454,53.588277165392206,0.14092793052518077,0.0,13.749066392700717,0.0,,,,,,,,,,14,188,803,12.801265701516817,54.67774658679789,-0.1409279305251771,0.4179719618929835,-13.749066392700358,7.578820705221826,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.2770440313677883,0.0,-6.17024568747857,0.0
58,1947.6,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,-0.34564101923753,0.0,-6.975600791877503,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.3428564100818543,0.0,-6.947444986461076,0.0
59,1982.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.3431612512860334,0.0,-6.755142741851057,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.0,0.675599378345633,0.0,-0.10638020065906555,,,,,,,,,,13,158,742,10.758510536381154,50.52414441768871,-0.010723124226433223,0.0,13.40390528304235,0.0
60,2014.4,15,1090,787,74.2201043332624,53.588277165392206,0.39893732375871793,-0.32364360245060925,-8.002754739392552,-7.208098050124913,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,-0.39893732375870755,0.39893732375871793,8.002754739392342,-8.002754739392552,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
61,2046.3,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,-0.00964876808834584,0.0,13.783954411921762,0.0,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
62,2083.7,15,1090,787,74.2201043332624,53.588277165392206,0.0,-0.3520646806580511,0.0,-6.93040709956794,,,,,,,,,,14,187,805,12.73317386267896,54.813930264473605,0.35206468065804186,-0.022498925449663486,6.930407099567759,-13.635712393736547,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.32956575520837034,0.0,-6.705305294168256,0.0
63,2114.1,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.002048901870749322,0.0,13.659345804986712,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.3399477382140372,0.0,6.819413003290627,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
64,2146.4,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0,0.0,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.008721001926003998,0.0,-13.41692604000668,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
65,2182.0,15,1090,786,74.2201043332624,53.52018532655435,-0.33202613566523104,-0.01918440881191793,-6.7553638995977705,13.703149151371248,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.01918440881191738,-0.68323668014238,-13.703149151370889,0.1924213521757057,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
66,2214.1,15,1090,787,74.2201043332624,53.588277165392206,0.0,0.0006802381502276932,0.0,-13.604763004567173,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,0.0006802381502276932,0.0,-13.604763004566816,0.0,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,-0.33994910056386207,0.0,-6.79898201127724
67,2247.8,15,1090,787,74.2201043332624,53.588277165392206,-0.34959786865224374,0.0,-6.8954214724308365,0.0,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,0.01836977001435142,0.34959786865224374,13.607237047666397,6.8954214724308365,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
68,2283.1,15,1089,787,74.15201249442454,53.588277165392206,0.007408607588688246,-0.007408607588688246,13.47019561579796,-13.47019561579796,,,,,,,,,,14,187,803,12.73317386267896,54.67774658679789,0.0074086075886880326,0.007408607588688246,13.470195615797609,13.47019561579796,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
69,2314.2,15,1090,786,74.2201043332624,53.52018532655435,0.0,-0.34331663198066603,0.0,6.731698666287571,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,-0.012671102798371596,0.0,13.338002945653743,0.0,,,,,,,,,,12,159,741,10.826602375219009,50.45605257885086,-0.33064552918227685,-0.34331663198063017,-6.606304279366177,6.731698666286868
70,2346.5,15,1089,787,74.15201249442454,53.588277165392206,-0.007603964029545373,-0.33925102059517637,13.825389144623317,-6.874387448737123,,,,,,,,,,14,188,805,12.801265701516817,54.813930264473605,0.007603964029545095,0.007603964029545373,-13.825389144622955,-13.825389144623317,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
71,2383.1,15,1090,786,74.2201043332624,53.52018532655435,0.3387483439672364,0.006877963518975655,-6.843400888226998,13.755927037951237,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,-0.00687796351897549,0.3387483439672364,-13.755927037950878,-6.843400888226998,,,,,,,,,,12,159,742,10.826602375219009,50.52414441768871,0.0,0.0,0.0,0.0
72,2416.2,15,1090,786,74.2201043332624,53.52018532655435,0.0,0.0,0.0,0.0,,,,,,,,,,14,188,804,12.801265701516817,54.745838425635746,-0.0293811494774685,0.0,-13.665650919753682,0.0,,,,,,,,,,13,158,741,10.758510536381154,50.45605257885086,0.029381149477467682,0.35597754674287924,13.665650919753325,6.979951896919202
73,2446.3,15,1090,786,74.2201043332624,53.52018532655435,0.34131230412261915,-0.34131230412261915,-6.833079161614021,6.833079161614021,,,,,,,,,,14,187,804,12.73317386267896,54.745838425635746,-0.0006829659202037054,-0.6819416423250346,13.659318404147028,0.006839919080658068,,,,,,,,,,13,159,742,10.826602375219009,50.52414441768871,0.0,-0.3406293382023799,0.0,-6.826239242532651
